open;close;high;low;ask;bid;volume
1.6233;1.635;1.6358;1.6208;1.6348;1.6345;4843
1.6345;1.6258;1.637;1.6255;1.6257;1.6254;4309
1.6254;1.6337;1.6351;1.6234;1.6341;1.6338;4914
1.6338;1.6345;1.6395;1.6316;1.6349;1.6346;4201
1.6346;1.6354;1.6386;1.6324;1.6356;1.6353;4142
1.6353;1.622;1.6361;1.6202;1.6228;1.6225;5230
1.6225;1.6258;1.6266;1.6172;1.626;1.6257;4728
1.6257;1.6147;1.6264;1.61;1.6144;1.6141;4429
1.6141;1.5977;1.6158;1.5952;1.5977;1.5974;5120
1.5974;1.6033;1.6075;1.5971;1.6019;1.6016;4393
1.6016;1.6038;1.6069;1.597;1.6;1.5997;4531
1.5997;1.6089;1.612;1.5952;1.609;1.6087;5023
1.6087;1.6158;1.6172;1.6046;1.616;1.6157;4533
1.6157;1.6125;1.6225;1.6115;1.6129;1.6126;4787
1.6126;1.6093;1.6134;1.6047;1.6099;1.6096;4642
1.6096;1.605;1.6109;1.6049;1.6016;1.6013;3514
1.6013;1.6092;1.6111;1.6004;1.61;1.6097;4636
1.6097;1.6169;1.6198;1.6065;1.6178;1.6175;4766
1.6175;1.6265;1.6291;1.6154;1.6267;1.6264;4868
1.6264;1.6358;1.6429;1.6218;1.636;1.6357;5544
1.6357;1.6319;1.6384;1.6285;1.6311;1.6308;4843
1.6308;1.6207;1.631;1.6196;1.6208;1.6205;4019
1.6205;1.6294;1.6305;1.6175;1.6297;1.6294;4700
1.6294;1.6305;1.633;1.6241;1.6305;1.6302;4822
1.6302;1.6286;1.6332;1.6262;1.629;1.6287;5513
1.6287;1.6283;1.6313;1.626;1.6285;1.6282;4532
1.6282;1.628;1.6295;1.6256;1.6282;1.6279;4082
1.6279;1.6374;1.6391;1.6217;1.6375;1.6372;4889
1.6372;1.6343;1.648;1.6334;1.6349;1.6346;5085
1.6346;1.6237;1.6392;1.6226;1.6241;1.6238;4912
1.6238;1.6231;1.627;1.6174;1.623;1.6227;5909
1.6227;1.6155;1.6243;1.6128;1.6155;1.6152;4461
1.6152;1.6123;1.6185;1.6108;1.6132;1.6129;3124
1.6129;1.6103;1.6176;1.607;1.6117;1.6114;4688
1.6114;1.6027;1.614;1.6012;1.6034;1.6031;4657
1.6031;1.6037;1.6052;1.6012;1.604;1.6037;1134
1.6037;1.5999;1.6062;1.5995;1.6004;1.6001;1512
1.6001;1.5915;1.6035;1.5841;1.5917;1.5914;5129
1.5914;1.5962;1.5991;1.5877;1.5964;1.5961;4537
1.5961;1.6062;1.6121;1.5954;1.6066;1.6063;5352
1.6063;1.6087;1.6109;1.6006;1.6075;1.6072;4976
1.6072;1.6121;1.6187;1.6072;1.6122;1.6119;4032
1.6119;1.6167;1.6172;1.6112;1.6169;1.6166;4666
1.6166;1.6117;1.621;1.6105;1.6116;1.6113;4831
1.6113;1.6094;1.6159;1.6078;1.6095;1.6092;4724
1.6092;1.6133;1.6157;1.6031;1.6127;1.6124;5326
1.6124;1.6118;1.6239;1.6066;1.6123;1.612;4745
1.612;1.609;1.62;1.6087;1.6092;1.6089;4827
1.6089;1.6056;1.6134;1.6042;1.6058;1.6055;5127
1.6055;1.6163;1.6176;1.6043;1.6165;1.6162;5022
1.6162;1.6155;1.6207;1.6126;1.6137;1.6134;4263
1.6134;1.6117;1.6187;1.6101;1.6126;1.6123;4384
1.6123;1.6177;1.6192;1.6087;1.6172;1.6169;5086
1.6169;1.6132;1.6222;1.6129;1.6136;1.6133;4802
1.6133;1.6092;1.6177;1.6068;1.6095;1.6092;5398
1.6092;1.6095;1.6141;1.606;1.61;1.6097;4599
1.6097;1.6085;1.6129;1.6063;1.6089;1.6086;3488
1.6086;1.6284;1.6297;1.6082;1.6286;1.6283;5512
1.6283;1.6357;1.639;1.6257;1.636;1.6357;6132
1.6357;1.6385;1.6435;1.6322;1.639;1.6387;6772
1.6387;1.6296;1.6397;1.6295;1.63;1.6297;5368
1.6297;1.6252;1.6353;1.6235;1.6259;1.6256;4169
1.6256;1.6225;1.628;1.6192;1.6225;1.6222;5045
1.6222;1.6176;1.6247;1.6156;1.6178;1.6175;5550
1.6175;1.6214;1.6216;1.6174;1.6216;1.6213;3487
1.6213;1.619;1.6244;1.6137;1.6215;1.6212;5336
1.6212;1.6179;1.6217;1.6146;1.6183;1.618;4976
1.618;1.6206;1.6257;1.6168;1.621;1.6207;4861
1.6207;1.6167;1.6228;1.6155;1.6167;1.6164;4885
1.6164;1.6072;1.6221;1.6065;1.6076;1.6073;5118
1.6073;1.6006;1.6091;1.6003;1.6018;1.6015;4609
1.6015;1.5976;1.6026;1.5929;1.598;1.5977;3552
1.5977;1.6047;1.6055;1.5959;1.6055;1.6052;4905
1.6052;1.5939;1.6055;1.5935;1.5942;1.5939;4645
1.5939;1.5976;1.6021;1.5882;1.598;1.5977;5013
1.5977;1.6014;1.6047;1.5957;1.6032;1.6029;4888
1.6029;1.6028;1.6055;1.6002;1.6029;1.6026;3288
1.6026;1.6119;1.6132;1.5985;1.6117;1.6114;5217
1.6114;1.6038;1.6141;1.6024;1.604;1.6037;5262
1.6037;1.6043;1.6096;1.6027;1.6049;1.6046;5464
1.6046;1.6103;1.6117;1.6019;1.6105;1.6102;4928
1.6102;1.5996;1.611;1.5982;1.6;1.5997;3905
1.5997;1.6061;1.6072;1.5987;1.6064;1.6061;5368
1.6061;1.6018;1.6073;1.5985;1.6022;1.6019;4897
1.6019;1.605;1.6054;1.5984;1.605;1.6047;5803
1.6047;1.6168;1.6181;1.6032;1.6145;1.6142;5690
1.6142;1.6063;1.6165;1.604;1.6068;1.6065;5988
1.6065;1.5941;1.6092;1.5901;1.5944;1.5941;7328
1.5941;1.5884;1.5955;1.5855;1.5885;1.5882;5463
1.5882;1.5939;1.5964;1.5856;1.5942;1.5939;5739
1.5939;1.5961;1.6007;1.5899;1.5948;1.5945;5813
1.5945;1.5911;1.5961;1.5849;1.5913;1.591;5438
1.591;1.5911;1.594;1.5854;1.5913;1.591;5442
1.591;1.5806;1.5917;1.5757;1.5808;1.5805;5535
1.5805;1.5877;1.5896;1.574;1.5879;1.5876;6153
1.5876;1.5862;1.594;1.5857;1.587;1.5867;5177
1.5867;1.5822;1.5875;1.5796;1.5824;1.5821;4974
1.5821;1.5732;1.5842;1.572;1.5736;1.5733;3961
1.5733;1.5778;1.579;1.5722;1.5785;1.5782;5391
