open;close;high;low;ask;bid;volume
1.5314;1.539;1.54;1.5311;1.5377;1.5374;103
1.5374;1.5355;1.54;1.525;1.5337;1.5334;282
1.5334;1.539;1.5395;1.532;1.5384;1.5381;95
1.5381;1.5445;1.547;1.5355;1.5443;1.544;167
1.544;1.5407;1.5475;1.539;1.5405;1.5402;138
1.5402;1.5402;1.544;1.5345;1.5393;1.539;191
1.539;1.5416;1.546;1.5385;1.5398;1.5395;125
1.5395;1.542;1.543;1.5365;1.5427;1.5424;106
1.5424;1.542;1.5435;1.54;1.5326;1.5323;67
1.5323;1.5277;1.5358;1.5227;1.5273;1.527;2010
1.527;1.5123;1.5292;1.5114;1.513;1.5127;1899
1.5127;1.5118;1.5135;1.5017;1.5123;1.512;2374
1.512;1.5141;1.517;1.5059;1.514;1.5137;2167
1.5137;1.511;1.5155;1.5085;1.5123;1.512;1313
1.512;1.5057;1.5177;1.5039;1.5061;1.5058;1381
1.5058;1.5157;1.5165;1.5052;1.5159;1.5156;2105
1.5156;1.5226;1.547;1.5132;1.523;1.5227;3078
1.5227;1.5332;1.5345;1.5177;1.5334;1.5331;2447
1.5331;1.5245;1.5416;1.524;1.5259;1.5256;2789
1.5256;1.526;1.5295;1.52;1.5258;1.5255;1538
1.5255;1.5302;1.5337;1.5246;1.5299;1.5296;2357
1.5296;1.5211;1.5318;1.5204;1.521;1.5207;1997
1.5207;1.5146;1.5236;1.5112;1.515;1.5147;2612
1.5147;1.5184;1.5215;1.5103;1.5204;1.5201;2468
1.5201;1.5197;1.5236;1.5128;1.5207;1.5204;2021
1.5204;1.52;1.5223;1.5152;1.5202;1.5199;2257
1.5199;1.5185;1.526;1.5179;1.5189;1.5186;2031
1.5186;1.5157;1.528;1.5155;1.5173;1.517;2151
1.517;1.5105;1.5184;1.5067;1.5114;1.5111;2758
1.5111;1.5075;1.5145;1.5065;1.5077;1.5074;1900
1.5074;1.5147;1.5167;1.5032;1.5149;1.5146;2443
1.5146;1.5099;1.516;1.5092;1.5104;1.5101;2168
1.5101;1.4912;1.5111;1.4897;1.4922;1.4919;2882
1.4919;1.491;1.4925;1.4822;1.4896;1.4893;2840
1.4893;1.4919;1.4925;1.4855;1.492;1.4917;2203
1.4917;1.4952;1.4965;1.4892;1.4948;1.4945;2211
1.4945;1.4899;1.4969;1.4888;1.4903;1.49;2297
1.49;1.4914;1.4931;1.4865;1.4921;1.4918;1845
1.4918;1.4917;1.4941;1.4878;1.493;1.4927;2081
1.4927;1.4932;1.4943;1.491;1.4933;1.493;851
1.493;1.4963;1.5065;1.4927;1.4973;1.497;2416
1.497;1.4947;1.5003;1.4931;1.4937;1.4934;1993
1.4934;1.487;1.4959;1.4855;1.4886;1.4883;1965
1.4883;1.4885;1.4923;1.485;1.487;1.4867;1957
1.4867;1.4947;1.4988;1.4866;1.4952;1.4949;1725
1.4949;1.4954;1.4997;1.4933;1.495;1.4947;1978
1.4947;1.4981;1.5041;1.4931;1.4987;1.4984;2838
1.4984;1.5114;1.5139;1.4972;1.512;1.5117;2580
1.5117;1.5101;1.518;1.5063;1.5093;1.509;2977
